period,value $/MCF
2020-01-01,5.765098039215686
2020-02-01,5.669607843137254
2020-03-01,5.551764705882353
2020-04-01,5.284117647058824
2020-05-01,5.147647058823529
2020-06-01,5.095882352941176
2020-07-01,5.071960784313726
2020-08-01,5.227058823529411
2020-09-01,5.47313725490196
2020-10-01,5.411764705882353
2020-11-01,5.880588235294118
2020-12-01,6.037254901960784
2021-01-01,6.039411764705882
2021-02-01,6.5284313725490195
2021-03-01,6.382745098039216
2021-04-01,6.38156862745098
2021-05-01,6.274313725490196
2021-06-01,6.655294117647059
2021-07-01,7.042745098039216
2021-08-01,7.253921568627451
2021-09-01,7.311764705882353
2021-10-01,8.080196078431372
2021-11-01,8.467058823529412
2021-12-01,8.690196078431372
2022-01-01,8.457647058823529
2022-02-01,8.733333333333333
2022-03-01,8.433529411764706
2022-04-01,8.65078431372549
2022-05-01,9.62313725490196
2022-06-01,10.508235294117647
2022-07-01,10.390392156862745
2022-08-01,10.923529411764706
2022-09-01,11.26156862745098
2022-10-01,10.330588235294117
2022-11-01,9.860980392156863
2022-12-01,10.454509803921567
2023-01-01,10.53078431372549
2023-02-01,9.383
2023-03-01,8.625882352941177
2023-04-01,7.680980392156863
2023-05-01,7.030588235294117
2023-06-01,7.1102
2023-07-01,7.450392156862746
2023-08-01,7.6098
2023-09-01,7.5588235294117645
2023-10-01,7.30843137254902
2023-11-01,7.376666666666666
